2026-05-20 22:11:02,248 | INFO | uvicorn.error | Started server process [94810]
2026-05-20 22:11:02,248 | INFO | uvicorn.error | Waiting for application startup.
2026-05-20 22:11:02,250 | INFO | apscheduler.scheduler | Scheduler started
2026-05-20 22:11:02,250 | INFO | infrastructure.app_context_builder | Scheduler started: running=True
2026-05-20 22:11:02,252 | INFO | uvicorn.error | Application startup complete.
2026-05-20 22:11:02,252 | INFO | uvicorn.error | Shutting down
2026-05-20 22:11:02,353 | INFO | uvicorn.error | Waiting for application shutdown.
2026-05-20 22:11:02,353 | INFO | api.app | Shutdown complete
2026-05-20 22:11:02,354 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-05-20 22:11:02,354 | INFO | uvicorn.error | Application shutdown complete.
2026-05-20 22:11:02,354 | INFO | uvicorn.error | Finished server process [94810]
2026-05-20 22:11:03,968 | INFO | uvicorn.error | Started server process [94812]
2026-05-20 22:11:03,968 | INFO | uvicorn.error | Waiting for application startup.
2026-05-20 22:11:03,970 | INFO | apscheduler.scheduler | Scheduler started
2026-05-20 22:11:03,970 | INFO | infrastructure.app_context_builder | Scheduler started: running=True
2026-05-20 22:11:03,971 | INFO | uvicorn.error | Application startup complete.
2026-05-20 22:11:03,971 | INFO | uvicorn.error | Shutting down
2026-05-20 22:11:04,072 | INFO | uvicorn.error | Waiting for application shutdown.
2026-05-20 22:11:04,072 | INFO | api.app | Shutdown complete
2026-05-20 22:11:04,073 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-05-20 22:11:04,073 | INFO | uvicorn.error | Application shutdown complete.
2026-05-20 22:11:04,073 | INFO | uvicorn.error | Finished server process [94812]
2026-05-20 22:11:05,675 | INFO | uvicorn.error | Started server process [94813]
2026-05-20 22:11:05,675 | INFO | uvicorn.error | Waiting for application startup.
2026-05-20 22:11:05,676 | INFO | apscheduler.scheduler | Scheduler started
2026-05-20 22:11:05,676 | INFO | infrastructure.app_context_builder | Scheduler started: running=True
2026-05-20 22:11:05,677 | INFO | uvicorn.error | Application startup complete.
2026-05-20 22:11:05,678 | INFO | uvicorn.error | Shutting down
